_airbyte_ab_id,_airbyte_extracted_at,id,user_id,amount,status,city,order_date
ab_000001,2026-04-28T10:05:00Z,1,82,565.54,cancelled,KAZAN,2024-05-05
ab_000002,2026-04-28T10:05:00Z,2,29,706.29,completed,MOSCOW,2024-10-29
ab_000003,2026-04-28T10:05:00Z,3,55,168.6,completed,SPB,2024-04-29
ab_000004,2026-04-28T10:05:00Z,4,65,3014.07,cancelled,SPB,2024-11-28
ab_000005,2026-04-28T10:05:00Z,5,90,2729.26,completed,NOVOSIBIRSK,2024-10-28
ab_000006,2026-04-28T10:05:00Z,6,36,4049.06,completed,SPB,2024-12-23
ab_000007,2026-04-28T10:05:00Z,7,55,1707.85,completed,SPB,2024-06-21
ab_000008,2026-04-28T10:05:00Z,8,14,472.8,completed,KAZAN,2024-06-25
ab_000009,2026-04-28T10:05:00Z,9,78,1329.96,completed,NOVOSIBIRSK,2024-10-01
ab_000010,2026-04-28T10:05:00Z,10,16,4865.85,pending,MOSCOW,2024-10-09
ab_000011,2026-04-28T10:05:00Z,11,38,4148.73,cancelled,KAZAN,2024-10-22
ab_000012,2026-04-28T10:05:00Z,12,25,3525.81,completed,SPB,2024-05-28
ab_000013,2026-04-28T10:05:00Z,13,11,4278.04,completed,NOVOSIBIRSK,2024-05-22
ab_000014,2026-04-28T10:05:00Z,14,59,3182.07,pending,SPB,2024-07-08
ab_000015,2026-04-28T10:05:00Z,15,46,1055.44,pending,MOSCOW,2024-11-07
ab_000016,2026-04-28T10:05:00Z,16,82,863.98,cancelled,SPB,2024-03-24
ab_000017,2026-04-28T10:05:00Z,17,60,1903.48,cancelled,SPB,2024-12-16
ab_000018,2026-04-28T10:05:00Z,18,42,4215.83,completed,SPB,2024-01-17
ab_000019,2026-04-28T10:05:00Z,19,41,2011.81,completed,SPB,2024-10-17
ab_000020,2026-04-28T10:05:00Z,20,92,1580.24,cancelled,NOVOSIBIRSK,2024-07-21
ab_000021,2026-04-28T10:05:00Z,21,83,2299.67,pending,SPB,2024-05-06
ab_000022,2026-04-28T10:05:00Z,22,96,2811.23,pending,NOVOSIBIRSK,2024-10-25
ab_000023,2026-04-28T10:05:00Z,23,52,1816.36,completed,NOVOSIBIRSK,2024-02-16
ab_000024,2026-04-28T10:05:00Z,24,97,245.11,completed,SPB,2024-11-17
ab_000025,2026-04-28T10:05:00Z,25,21,3962.48,pending,MOSCOW,2024-07-16
ab_000026,2026-04-28T10:05:00Z,26,49,2983.48,pending,KAZAN,2024-10-10
ab_000027,2026-04-28T10:05:00Z,27,2,3404.61,completed,KAZAN,2024-11-24
ab_000028,2026-04-28T10:05:00Z,28,44,566.65,pending,SPB,2024-08-20
ab_000029,2026-04-28T10:05:00Z,29,1,4769.54,cancelled,KAZAN,2024-09-13
ab_000030,2026-04-28T10:05:00Z,30,98,901.47,completed,KAZAN,2024-11-23
ab_000031,2026-04-28T10:05:00Z,31,65,3048.76,completed,KAZAN,2024-03-23
ab_000032,2026-04-28T10:05:00Z,32,70,4767.96,cancelled,MOSCOW,2024-11-02
ab_000033,2026-04-28T10:05:00Z,33,42,2448.14,completed,KAZAN,2024-06-06
ab_000034,2026-04-28T10:05:00Z,34,31,299.05,cancelled,MOSCOW,2024-02-13
ab_000035,2026-04-28T10:05:00Z,35,94,2435.09,completed,SPB,2024-03-06
ab_000036,2026-04-28T10:05:00Z,36,85,2381.66,cancelled,SPB,2024-05-15
ab_000037,2026-04-28T10:05:00Z,37,68,4363.44,pending,SPB,2024-10-03
ab_000038,2026-04-28T10:05:00Z,38,97,3652.36,completed,KAZAN,2024-07-23
ab_000039,2026-04-28T10:05:00Z,39,86,3252.89,pending,NOVOSIBIRSK,2024-03-02
ab_000040,2026-04-28T10:05:00Z,40,32,1131.24,pending,MOSCOW,2024-10-28
ab_000041,2026-04-28T10:05:00Z,41,71,1158.27,completed,MOSCOW,2024-02-06
ab_000042,2026-04-28T10:05:00Z,42,91,3159.2,completed,MOSCOW,2024-01-17
ab_000043,2026-04-28T10:05:00Z,43,43,363.58,completed,KAZAN,2024-12-08
ab_000044,2026-04-28T10:05:00Z,44,63,1079.04,completed,NOVOSIBIRSK,2024-05-04
ab_000045,2026-04-28T10:05:00Z,45,101,2370.13,pending,SPB,2024-02-18
ab_000046,2026-04-28T10:05:00Z,46,13,3298.32,pending,NOVOSIBIRSK,2024-07-29
ab_000047,2026-04-28T10:05:00Z,47,60,4320.55,completed,MOSCOW,2024-02-01
ab_000048,2026-04-28T10:05:00Z,48,52,3643.79,completed,SPB,2024-04-08
ab_000049,2026-04-28T10:05:00Z,49,25,2686.07,completed,NOVOSIBIRSK,2024-04-03
ab_000050,2026-04-28T10:05:00Z,50,36,2318.51,completed,NOVOSIBIRSK,2024-10-08
ab_000051,2026-04-28T10:05:00Z,51,13,262.44,cancelled,MOSCOW,2024-02-17
