order_id,user_id,amount,status,city,order_date
1,52,2938.34,completed,NOVOSIBIRSK,2024-11-23
2,93,3729.74,completed,MOSCOW,2024-02-27
3,15,2163.98,completed,NOVOSIBIRSK,2024-01-13
4,72,646.63,cancelled,MOSCOW,2024-05-20
5,61,1426.04,completed,YEKATERINBURG,2024-05-05
6,21,1821.78,completed,SPB,2024-04-24
7,83,3233.13,completed,YEKATERINBURG,2024-03-12
8,87,2858.18,completed,YEKATERINBURG,2024-02-22
9,75,1786.92,completed,NOVOSIBIRSK,2024-12-12
10,75,4932.71,completed,SPB,2024-10-06
11,88,3032.82,cancelled,MOSCOW,2024-02-14
12,100,1193.76,completed,MOSCOW,2024-10-29
13,24,517.89,cancelled,KAZAN,2024-08-04
14,3,772.77,pending,MOSCOW,2024-01-17
15,22,1237.33,completed,NOVOSIBIRSK,2024-01-16
16,53,811.8,cancelled,YEKATERINBURG,2024-02-17
17,2,940.97,completed,YEKATERINBURG,2024-04-21
18,88,1432.62,pending,YEKATERINBURG,2024-04-29
19,30,875.13,completed,SPB,2024-09-15
20,38,4484.86,pending,MOSCOW,2024-11-04
21,2,410.37,pending,NOVOSIBIRSK,2024-01-14
22,64,2627.31,pending,SPB,2024-10-14
23,60,2057.88,pending,KAZAN,2024-04-11
24,21,4912.07,completed,NOVOSIBIRSK,2024-11-28
25,33,569.07,completed,NOVOSIBIRSK,2024-12-25
26,76,1995.3,completed,NOVOSIBIRSK,2024-10-06
27,58,4847.66,completed,YEKATERINBURG,2024-08-02
28,22,4328.88,completed,NOVOSIBIRSK,2024-04-22
29,89,4087.19,completed,MOSCOW,2024-08-17
30,49,1296.94,cancelled,NOVOSIBIRSK,2024-10-28
31,91,862.73,completed,YEKATERINBURG,2024-05-22
32,59,3346.53,pending,NOVOSIBIRSK,2024-01-04
33,42,4647.59,completed,KAZAN,2024-03-22
34,92,2788.25,pending,KAZAN,2024-12-23
35,60,2862.35,cancelled,YEKATERINBURG,2024-08-04
36,80,1407.1,completed,MOSCOW,2024-06-23
37,15,3849.77,completed,MOSCOW,2024-05-22
38,62,943.35,pending,SPB,2024-03-20
39,62,1625.16,completed,YEKATERINBURG,2024-04-20
40,47,2132.93,completed,NOVOSIBIRSK,2024-06-21
41,62,2542.98,completed,YEKATERINBURG,2024-02-22
42,51,1219.62,completed,SPB,2024-02-17
43,55,583.04,completed,YEKATERINBURG,2024-07-13
44,64,3056.99,completed,YEKATERINBURG,2024-02-19
45,3,1450.27,completed,SPB,2024-07-02
46,51,2910.38,completed,MOSCOW,2024-06-25
47,7,780.27,cancelled,NOVOSIBIRSK,2024-11-05
48,21,2410.89,completed,SPB,2024-05-15
49,73,2667.62,cancelled,KAZAN,2024-01-23
50,39,268.6,completed,MOSCOW,2024-08-23
51,18,1689.66,completed,KAZAN,2024-10-01
52,4,680.73,completed,MOSCOW,2024-03-04
53,89,326.24,completed,NOVOSIBIRSK,2024-07-12
54,60,4949.9,completed,NOVOSIBIRSK,2024-02-10
55,14,1618.55,completed,YEKATERINBURG,2024-10-09
56,9,4051.27,completed,KAZAN,2024-05-30
57,90,1280.66,completed,MOSCOW,2024-11-17
58,53,3410.7,completed,NOVOSIBIRSK,2024-11-12
59,2,3803.54,completed,SPB,2024-07-04
60,84,2982.24,completed,NOVOSIBIRSK,2024-10-22
61,92,2363.17,pending,SPB,2024-04-08
62,60,2065.09,completed,MOSCOW,2024-12-26
63,71,1750.85,completed,NOVOSIBIRSK,2024-02-05
64,44,4648.35,cancelled,NOVOSIBIRSK,2024-01-24
65,8,4154.79,completed,MOSCOW,2024-12-04
66,47,4825.48,completed,NOVOSIBIRSK,2024-04-26
67,35,630.24,cancelled,SPB,2024-05-28
68,78,3657.03,completed,NOVOSIBIRSK,2024-02-10
69,81,4692.32,completed,KAZAN,2024-04-29
70,36,914.35,completed,YEKATERINBURG,2024-02-21
71,50,341.82,completed,SPB,2024-07-13
72,4,3708.19,completed,KAZAN,2024-05-22
73,2,2876.62,completed,MOSCOW,2024-08-20
74,6,4210.73,completed,SPB,2024-11-21
75,54,707.46,completed,YEKATERINBURG,2024-07-05
76,4,3978.38,cancelled,YEKATERINBURG,2024-03-24
77,54,1016.12,pending,MOSCOW,2024-07-08
78,93,826.64,completed,MOSCOW,2024-06-30
79,63,829.69,completed,SPB,2024-04-17
80,18,4074.73,completed,NOVOSIBIRSK,2024-12-09
81,90,3329.33,completed,MOSCOW,2024-05-16
82,44,2620.1,completed,NOVOSIBIRSK,2024-12-25
83,34,1800.56,completed,KAZAN,2024-12-15
84,74,4387.23,pending,YEKATERINBURG,2024-11-27
85,62,1968.3,completed,NOVOSIBIRSK,2024-02-06
86,100,4084.83,completed,YEKATERINBURG,2024-11-07
87,14,2201.28,completed,NOVOSIBIRSK,2024-11-21
88,95,1890.95,completed,KAZAN,2024-03-28
89,48,2318.77,pending,MOSCOW,2024-09-30
90,15,1513.88,pending,KAZAN,2024-05-05
91,72,3740.57,pending,MOSCOW,2024-03-24
92,78,2518.57,completed,MOSCOW,2024-08-24
93,87,1168.74,completed,YEKATERINBURG,2024-07-13
94,62,4498.88,completed,KAZAN,2024-05-18
95,40,1925.62,completed,NOVOSIBIRSK,2024-11-23
96,85,2722.33,completed,KAZAN,2024-12-18
97,80,4533.3,pending,YEKATERINBURG,2024-10-12
98,82,3124.95,completed,MOSCOW,2024-04-22
99,53,593.32,completed,YEKATERINBURG,2024-12-16
100,24,4699.76,completed,SPB,2024-06-15
101,26,3142.26,completed,SPB,2024-01-29
102,89,1681.18,completed,NOVOSIBIRSK,2024-04-27
103,60,704.97,cancelled,YEKATERINBURG,2024-01-17
104,41,3972.19,pending,NOVOSIBIRSK,2024-06-10
105,29,3104.16,cancelled,NOVOSIBIRSK,2024-07-24
106,15,2671.97,completed,SPB,2024-05-17
107,45,4470.52,completed,NOVOSIBIRSK,2024-02-03
108,65,3945.1,completed,SPB,2024-04-18
109,89,766.86,completed,MOSCOW,2024-10-17
110,71,1565.49,pending,YEKATERINBURG,2024-06-10
111,9,1249.96,completed,NOVOSIBIRSK,2024-04-18
112,88,3722.29,completed,SPB,2024-12-01
113,1,177.33,completed,KAZAN,2024-09-12
114,8,2853.75,completed,NOVOSIBIRSK,2024-07-21
115,88,3814.67,pending,MOSCOW,2024-11-25
116,63,4385.06,completed,MOSCOW,2024-08-22
117,11,1716.99,completed,KAZAN,2024-03-14
118,81,4108.07,completed,SPB,2024-05-15
119,8,562.05,completed,NOVOSIBIRSK,2024-03-12
120,35,4233.8,pending,SPB,2024-05-06
121,35,646.17,pending,MOSCOW,2024-10-14
122,33,1992.46,cancelled,SPB,2024-10-02
123,5,3988.5,pending,MOSCOW,2024-05-14
124,41,758.09,completed,SPB,2024-10-26
125,28,1153.96,completed,KAZAN,2024-08-07
126,7,3614.04,completed,YEKATERINBURG,2024-10-25
127,73,3602.98,completed,KAZAN,2024-07-23
128,72,3209.33,pending,KAZAN,2024-07-04
129,12,3472.8,completed,YEKATERINBURG,2024-04-22
130,34,2718.19,cancelled,YEKATERINBURG,2024-03-11
131,33,1266.48,completed,NOVOSIBIRSK,2024-09-17
132,48,1735.02,completed,NOVOSIBIRSK,2024-09-09
133,23,916.17,completed,KAZAN,2024-02-16
134,62,4543.17,pending,KAZAN,2024-01-25
135,88,2921.13,completed,MOSCOW,2024-02-26
136,37,2010.25,completed,MOSCOW,2024-03-19
137,99,2315.41,completed,NOVOSIBIRSK,2024-11-17
138,44,4736.94,completed,NOVOSIBIRSK,2024-03-22
