order_id,customer_id,product,category,amount,quantity,status,city,order_date,total_amount,month,quarter,year,day_of_week,revenue_tier
2,180,Часы,Аксессуары,5357,2,completed,Москва,2024-01-01 08:00:00,10714,1,1,2024,Monday,Высокий
4,15,Телефон,Электроника,11681,3,completed,НСК,2024-01-02 00:00:00,35043,1,1,2024,Tuesday,VIP
6,72,Наушники,Аксессуары,13791,3,completed,СПб,2024-01-02 16:00:00,41373,1,1,2024,Tuesday,VIP
7,189,Часы,Электроника,10248,2,completed,Казань,2024-01-03 00:00:00,20496,1,1,2024,Wednesday,VIP
8,21,Телефон,Электроника,8991,4,completed,НСК,2024-01-03 08:00:00,35964,1,1,2024,Wednesday,VIP
13,117,Наушники,Аксессуары,3956,1,completed,Москва,2024-01-05 00:00:00,3956,1,1,2024,Friday,Средний
14,100,Ноутбук,Электроника,2127,4,completed,Екб,2024-01-05 08:00:00,8508,1,1,2024,Friday,Высокий
15,104,Ноутбук,Аксессуары,14770,2,completed,НСК,2024-01-05 16:00:00,29540,1,1,2024,Friday,VIP
16,152,Наушники,Электроника,9995,1,completed,НСК,2024-01-06 00:00:00,9995,1,1,2024,Saturday,Высокий
17,131,Наушники,Аксессуары,7126,3,completed,Казань,2024-01-06 08:00:00,21378,1,1,2024,Saturday,VIP
18,150,Часы,Аксессуары,5504,1,completed,Москва,2024-01-06 16:00:00,5504,1,1,2024,Saturday,Высокий
19,53,Планшет,Электроника,9826,3,completed,Екб,2024-01-07 00:00:00,29478,1,1,2024,Sunday,VIP
20,2,Ноутбук,Аксессуары,10878,4,completed,Москва,2024-01-07 08:00:00,43512,1,1,2024,Sunday,VIP
21,88,Планшет,Электроника,13783,1,completed,НСК,2024-01-07 16:00:00,13783,1,1,2024,Sunday,Высокий
22,158,Планшет,Аксессуары,7152,2,completed,Москва,2024-01-08 00:00:00,14304,1,1,2024,Monday,Высокий
26,188,Часы,Аксессуары,8517,4,completed,Москва,2024-01-09 08:00:00,34068,1,1,2024,Tuesday,VIP
27,21,Часы,Электроника,2651,2,completed,СПб,2024-01-09 16:00:00,5302,1,1,2024,Tuesday,Высокий
29,58,Часы,Аксессуары,14572,2,completed,Казань,2024-01-10 08:00:00,29144,1,1,2024,Wednesday,VIP
30,22,Ноутбук,Аксессуары,12427,4,completed,Казань,2024-01-10 16:00:00,49708,1,1,2024,Wednesday,VIP
31,89,Планшет,Аксессуары,7405,3,completed,Москва,2024-01-11 00:00:00,22215,1,1,2024,Thursday,VIP
32,49,Ноутбук,Аксессуары,3334,1,completed,Казань,2024-01-11 08:00:00,3334,1,1,2024,Thursday,Средний
33,59,Телефон,Электроника,12952,2,completed,Москва,2024-01-11 16:00:00,25904,1,1,2024,Thursday,VIP
34,170,Планшет,Аксессуары,9690,2,completed,Москва,2024-01-12 00:00:00,19380,1,1,2024,Friday,Высокий
35,188,Телефон,Электроника,3067,4,completed,СПб,2024-01-12 08:00:00,12268,1,1,2024,Friday,Высокий
36,15,Планшет,Электроника,1807,1,completed,Казань,2024-01-12 16:00:00,1807,1,1,2024,Friday,Средний
37,190,Наушники,Электроника,9348,3,completed,Москва,2024-01-13 00:00:00,28044,1,1,2024,Saturday,VIP
39,175,Наушники,Электроника,10903,1,completed,Екб,2024-01-13 16:00:00,10903,1,1,2024,Saturday,Высокий
40,190,Телефон,Электроника,10601,3,completed,СПб,2024-01-14 00:00:00,31803,1,1,2024,Sunday,VIP
42,108,Планшет,Электроника,10738,2,completed,Москва,2024-01-14 16:00:00,21476,1,1,2024,Sunday,VIP
43,55,Часы,Электроника,6707,3,completed,НСК,2024-01-15 00:00:00,20121,1,1,2024,Monday,VIP
