event_id,user_id,event_type,event_date
1,426,login,2023-12-09
2,426,login,2023-12-04
3,426,support_ticket,2024-07-25
4,426,upgrade_view,2023-10-18
5,426,feature_use,2024-11-03
6,426,login,2023-12-08
7,426,feature_use,2024-08-19
8,426,upgrade_view,2023-12-25
9,426,support_ticket,2024-11-02
10,426,login,2023-05-13
11,426,support_ticket,2023-11-14
12,426,upgrade_view,2024-10-20
13,426,login,2023-05-11
14,426,support_ticket,2024-10-23
15,426,upgrade_view,2024-06-04
16,426,upgrade_view,2023-01-19
17,426,feature_use,2023-11-13
18,426,upgrade_view,2023-08-08
19,426,feature_use,2024-05-12
20,426,feature_use,2023-08-20
21,426,login,2023-06-08
22,426,login,2023-10-30
23,426,login,2024-06-03
24,426,upgrade_view,2024-11-08
25,426,feature_use,2024-09-24
26,99,feature_use,2024-01-21
27,99,feature_use,2023-06-16
28,99,feature_use,2024-12-10
29,99,login,2024-03-24
30,99,upgrade_view,2024-02-25
31,99,feature_use,2024-11-23
32,99,upgrade_view,2024-03-30
33,99,feature_use,2024-04-04
34,99,feature_use,2024-06-30
35,99,support_ticket,2023-11-13
36,99,upgrade_view,2023-07-18
37,99,support_ticket,2024-11-25
38,99,upgrade_view,2024-04-17
39,99,support_ticket,2024-01-27
40,99,feature_use,2023-06-15
41,99,feature_use,2024-09-11
42,99,login,2023-09-14
43,99,support_ticket,2024-10-18
44,99,login,2024-01-16
45,99,login,2024-12-29
46,99,login,2023-10-19
47,99,upgrade_view,2023-06-14
48,99,feature_use,2024-04-05
49,99,login,2024-03-23
50,337,upgrade_view,2024-04-06
51,337,support_ticket,2023-01-28
52,337,support_ticket,2023-02-24
53,337,upgrade_view,2024-05-29
54,337,support_ticket,2023-08-30
55,337,upgrade_view,2023-03-25
56,337,login,2023-08-18
57,337,login,2023-11-23
58,337,upgrade_view,2024-10-27
59,337,feature_use,2023-05-30
60,337,upgrade_view,2023-02-09
61,337,feature_use,2024-04-28
62,376,support_ticket,2024-12-23
63,376,login,2024-04-04
64,376,login,2023-03-23
65,376,feature_use,2023-09-20
66,376,support_ticket,2023-06-03
67,376,upgrade_view,2023-04-24
68,376,upgrade_view,2023-09-01
69,376,login,2023-05-05
70,376,support_ticket,2023-09-02
71,376,support_ticket,2024-10-16
72,376,login,2023-03-06
73,376,login,2024-05-26
74,376,feature_use,2024-10-09
75,376,upgrade_view,2023-05-28
76,376,login,2024-03-15
77,376,upgrade_view,2024-09-21
78,376,support_ticket,2023-09-04
79,376,login,2023-07-11
80,376,upgrade_view,2024-06-20
81,376,login,2023-03-11
82,376,support_ticket,2024-02-04
83,376,support_ticket,2023-02-14
84,376,upgrade_view,2024-01-18
85,376,upgrade_view,2023-01-17
86,376,upgrade_view,2023-03-11
87,376,login,2023-09-04
88,376,upgrade_view,2024-08-18
89,376,login,2023-05-17
90,376,upgrade_view,2023-12-27
91,498,support_ticket,2023-06-29
92,498,support_ticket,2024-12-13
93,498,feature_use,2024-10-08
94,498,login,2023-05-19
95,498,login,2024-04-13
96,498,feature_use,2023-10-28
97,498,feature_use,2023-02-14
98,498,upgrade_view,2023-02-12
99,498,support_ticket,2023-11-14
100,498,support_ticket,2024-07-10
101,498,login,2023-09-17
102,498,feature_use,2024-10-24
103,498,upgrade_view,2023-10-20
104,498,upgrade_view,2023-02-18
105,498,login,2023-10-07
106,498,support_ticket,2024-01-12
107,498,support_ticket,2024-02-14
108,498,upgrade_view,2024-01-31
109,498,support_ticket,2023-07-11
110,498,support_ticket,2024-12-09
111,498,upgrade_view,2024-01-12
112,498,support_ticket,2023-03-26
113,498,support_ticket,2023-03-22
114,498,feature_use,2024-09-08
115,498,upgrade_view,2024-07-12
116,95,login,2023-04-16
117,95,upgrade_view,2023-12-02
118,95,support_ticket,2023-11-10
119,95,support_ticket,2024-09-09
120,95,support_ticket,2023-06-20
121,95,support_ticket,2023-12-26
122,95,upgrade_view,2023-02-13
123,95,support_ticket,2024-09-21
124,95,login,2023-10-09
125,95,support_ticket,2023-03-18
126,95,feature_use,2024-01-08
127,95,feature_use,2023-02-01
128,95,support_ticket,2024-09-14
129,95,feature_use,2023-02-05
130,95,feature_use,2023-03-10
131,471,upgrade_view,2024-10-22
132,471,support_ticket,2024-01-06
133,471,login,2024-08-03
134,471,feature_use,2024-09-11
135,471,support_ticket,2024-11-26
136,471,upgrade_view,2024-01-15
137,471,login,2024-03-30
138,471,feature_use,2024-08-10
139,471,upgrade_view,2024-06-26
140,471,upgrade_view,2024-02-12
141,471,upgrade_view,2024-10-27
142,471,login,2023-09-13
143,471,feature_use,2023-01-27
144,471,support_ticket,2024-05-26
145,471,login,2024-07-29
146,471,upgrade_view,2023-09-26
147,471,support_ticket,2024-12-21
148,471,upgrade_view,2023-08-08
149,471,support_ticket,2024-12-11
150,471,login,2023-07-24
151,471,login,2023-05-19
152,471,feature_use,2024-04-07
153,471,support_ticket,2024-12-31
154,471,upgrade_view,2023-03-31
155,471,upgrade_view,2024-11-14
156,471,login,2024-12-27
157,471,upgrade_view,2024-07-17
158,471,feature_use,2023-11-04
159,471,feature_use,2024-12-29
160,356,feature_use,2024-01-06
161,356,feature_use,2023-05-05
162,356,feature_use,2023-05-23
163,356,login,2024-05-20
164,356,upgrade_view,2024-01-05
165,356,feature_use,2024-04-23
166,356,login,2024-09-18
167,356,upgrade_view,2023-03-09
168,356,support_ticket,2024-02-12
169,356,support_ticket,2024-06-22
170,356,login,2024-02-24
171,356,upgrade_view,2023-05-09
172,356,login,2024-10-19
173,356,support_ticket,2024-04-05
174,356,upgrade_view,2024-11-27
175,356,feature_use,2023-05-12
176,356,support_ticket,2023-05-13
177,356,login,2024-05-29
178,356,feature_use,2023-05-08
179,356,feature_use,2023-11-08
180,356,upgrade_view,2023-06-15
181,356,feature_use,2024-12-27
182,356,upgrade_view,2023-12-21
183,356,upgrade_view,2023-03-22
184,356,upgrade_view,2023-07-21
185,356,upgrade_view,2023-05-09
186,356,login,2024-09-21
187,356,feature_use,2024-05-29
188,356,feature_use,2024-08-29
189,356,upgrade_view,2023-06-25
190,372,login,2023-02-12
191,372,login,2023-03-25
192,372,upgrade_view,2024-10-18
193,372,feature_use,2024-10-28
194,372,support_ticket,2024-08-08
195,372,login,2024-09-24
196,372,upgrade_view,2024-05-24
197,372,upgrade_view,2024-10-19
198,372,feature_use,2024-05-09
199,372,support_ticket,2024-12-02
200,372,support_ticket,2023-11-01
201,372,login,2023-03-16
202,372,support_ticket,2023-06-11
203,372,support_ticket,2024-03-01
204,372,feature_use,2024-04-20
205,372,feature_use,2023-12-15
206,372,upgrade_view,2023-11-17
207,372,support_ticket,2023-12-20
208,372,upgrade_view,2023-05-14
209,372,login,2024-06-11
210,372,feature_use,2023-11-23
211,372,login,2024-04-22
212,372,support_ticket,2023-10-01
213,409,login,2023-05-25
214,409,upgrade_view,2023-02-21
215,409,support_ticket,2024-01-29
216,409,feature_use,2023-09-12
217,409,upgrade_view,2023-12-02
218,409,feature_use,2023-07-14
219,409,support_ticket,2024-05-25
220,409,upgrade_view,2024-05-25
221,409,login,2024-05-24
222,409,support_ticket,2023-04-03
223,409,support_ticket,2024-06-01
224,409,feature_use,2023-09-04
225,57,login,2023-12-28
226,57,upgrade_view,2023-02-21
227,57,support_ticket,2024-05-21
228,57,login,2023-10-20
229,57,support_ticket,2023-04-21
230,57,upgrade_view,2023-05-18
231,57,support_ticket,2024-01-10
232,57,login,2024-01-10
233,57,login,2024-02-15
234,57,feature_use,2024-08-06
235,57,upgrade_view,2024-01-07
236,57,support_ticket,2023-03-17
237,57,support_ticket,2024-05-31
238,57,upgrade_view,2024-07-17
239,57,login,2024-09-30
240,57,login,2023-05-12
241,57,upgrade_view,2024-02-08
242,57,upgrade_view,2023-12-14
243,57,feature_use,2023-05-28
244,57,support_ticket,2024-09-08
245,57,login,2024-05-27
246,57,login,2023-02-16
247,57,upgrade_view,2023-05-21
248,420,support_ticket,2024-04-30
249,420,feature_use,2023-06-02
250,420,upgrade_view,2023-12-02
251,420,support_ticket,2023-06-16
252,420,upgrade_view,2024-09-23
253,420,upgrade_view,2024-08-30
254,420,support_ticket,2024-06-03
255,420,upgrade_view,2024-12-26
256,420,login,2024-05-01
257,420,upgrade_view,2024-01-13
258,420,login,2024-11-20
259,420,upgrade_view,2024-03-02
260,420,login,2024-12-05
261,420,support_ticket,2024-09-03
262,420,feature_use,2023-09-29
263,420,support_ticket,2023-02-22
264,420,support_ticket,2023-06-24
265,420,feature_use,2023-06-01
266,420,login,2023-02-02
