order_id,user_id,amount,status,created_at
1,8,828,completed,2024-01-01 00:00:00
2,88,1465,completed,2024-01-01 03:00:00
3,63,4592,completed,2024-01-01 06:00:00
4,11,798,pending,2024-01-01 09:00:00
5,81,495,completed,2024-01-01 12:00:00
6,8,4271,pending,2024-01-01 15:00:00
7,35,4460,completed,2024-01-01 18:00:00
8,35,2602,completed,2024-01-01 21:00:00
9,33,1919,completed,2024-01-02 00:00:00
10,5,817,pending,2024-01-02 03:00:00
11,41,2882,cancelled,2024-01-02 06:00:00
12,28,3677,completed,2024-01-02 09:00:00
13,7,243,completed,2024-01-02 12:00:00
14,73,3240,cancelled,2024-01-02 15:00:00
15,72,4591,completed,2024-01-02 18:00:00
16,12,3038,completed,2024-01-02 21:00:00
17,34,3736,cancelled,2024-01-03 00:00:00
18,33,3322,completed,2024-01-03 03:00:00
19,48,1267,completed,2024-01-03 06:00:00
20,23,2716,completed,2024-01-03 09:00:00
21,62,1162,completed,2024-01-03 12:00:00
22,88,2256,completed,2024-01-03 15:00:00
23,37,3082,pending,2024-01-03 18:00:00
24,99,3394,completed,2024-01-03 21:00:00
25,44,4829,completed,2024-01-04 00:00:00
26,86,1256,completed,2024-01-04 03:00:00
27,91,832,completed,2024-01-04 06:00:00
28,35,4430,cancelled,2024-01-04 09:00:00
29,65,4946,completed,2024-01-04 12:00:00
30,99,1053,completed,2024-01-04 15:00:00
31,47,2639,pending,2024-01-04 18:00:00
32,78,3424,completed,2024-01-04 21:00:00
33,3,3401,completed,2024-01-05 00:00:00
34,1,1642,completed,2024-01-05 03:00:00
35,5,1291,completed,2024-01-05 06:00:00
36,90,3093,completed,2024-01-05 09:00:00
37,14,2781,completed,2024-01-05 12:00:00
38,27,1317,pending,2024-01-05 15:00:00
39,9,1640,completed,2024-01-05 18:00:00
40,79,3336,completed,2024-01-05 21:00:00
41,15,2486,completed,2024-01-06 00:00:00
42,90,3819,completed,2024-01-06 03:00:00
43,42,1488,pending,2024-01-06 06:00:00
44,77,1956,completed,2024-01-06 09:00:00
45,51,1465,completed,2024-01-06 12:00:00
46,63,599,pending,2024-01-06 15:00:00
47,96,1780,completed,2024-01-06 18:00:00
48,52,610,completed,2024-01-06 21:00:00
49,96,4412,completed,2024-01-07 00:00:00
50,4,1424,completed,2024-01-07 03:00:00
51,94,1255,pending,2024-01-07 06:00:00
52,23,1927,completed,2024-01-07 09:00:00
53,15,3241,completed,2024-01-07 12:00:00
54,43,3586,completed,2024-01-07 15:00:00
55,29,1910,pending,2024-01-07 18:00:00
56,36,3023,completed,2024-01-07 21:00:00
57,13,2314,pending,2024-01-08 00:00:00
58,32,4286,completed,2024-01-08 03:00:00
59,71,813,pending,2024-01-08 06:00:00
60,59,3702,cancelled,2024-01-08 09:00:00
61,86,4234,pending,2024-01-08 12:00:00
62,28,3622,pending,2024-01-08 15:00:00
63,66,4368,completed,2024-01-08 18:00:00
64,42,4848,completed,2024-01-08 21:00:00
65,45,4949,completed,2024-01-09 00:00:00
66,62,1343,completed,2024-01-09 03:00:00
67,57,3809,completed,2024-01-09 06:00:00
68,6,1181,completed,2024-01-09 09:00:00
69,28,555,completed,2024-01-09 12:00:00
70,28,994,completed,2024-01-09 15:00:00
71,44,1484,pending,2024-01-09 18:00:00
72,84,2058,completed,2024-01-09 21:00:00
73,30,3172,pending,2024-01-10 00:00:00
74,62,2096,pending,2024-01-10 03:00:00
75,75,4385,cancelled,2024-01-10 06:00:00
76,92,604,completed,2024-01-10 09:00:00
77,89,1314,pending,2024-01-10 12:00:00
78,62,1631,cancelled,2024-01-10 15:00:00
79,97,3540,cancelled,2024-01-10 18:00:00
80,1,923,completed,2024-01-10 21:00:00
81,27,1028,completed,2024-01-11 00:00:00
82,62,233,completed,2024-01-11 03:00:00
83,77,2205,completed,2024-01-11 06:00:00
84,3,3727,completed,2024-01-11 09:00:00
85,70,4880,pending,2024-01-11 12:00:00
86,72,1952,pending,2024-01-11 15:00:00
87,27,4275,completed,2024-01-11 18:00:00
88,9,3033,pending,2024-01-11 21:00:00
89,62,3384,completed,2024-01-12 00:00:00
90,37,4398,pending,2024-01-12 03:00:00
91,97,2911,cancelled,2024-01-12 06:00:00
92,51,1350,completed,2024-01-12 09:00:00
93,44,3612,completed,2024-01-12 12:00:00
94,24,1356,pending,2024-01-12 15:00:00
95,79,3476,completed,2024-01-12 18:00:00
96,59,3586,completed,2024-01-12 21:00:00
97,32,3684,pending,2024-01-13 00:00:00
98,96,1496,completed,2024-01-13 03:00:00
99,88,3737,pending,2024-01-13 06:00:00
