subscription_id,user_id,plan,mrr,start_date,end_date,status
1,1,basic,10,2023-01-02,2023-07-21,churned
2,2,pro,50,2023-01-04,2023-04-26,churned
3,3,basic,10,2023-01-03,2023-03-20,churned
4,4,basic,10,2023-01-02,2023-06-30,churned
5,5,pro,50,2023-01-03,2024-01-30,churned
6,6,basic,10,2023-01-09,2024-01-05,churned
7,7,pro,50,2023-01-08,,active
8,8,basic,10,2023-01-04,2023-05-25,churned
9,9,enterprise,200,2023-01-11,,active
10,10,basic,10,2023-01-07,2023-08-27,churned
11,11,enterprise,200,2023-01-07,2023-04-26,churned
12,12,pro,50,2023-01-11,,active
13,13,basic,10,2023-01-11,2023-11-02,churned
14,14,pro,50,2023-01-08,,active
15,15,enterprise,200,2023-01-14,2023-08-12,churned
16,16,basic,10,2023-01-13,2023-04-18,churned
17,17,basic,10,2023-01-09,2023-08-05,churned
18,18,basic,10,2023-01-10,2023-05-01,churned
19,19,pro,50,2023-01-16,2024-02-05,churned
20,20,pro,50,2023-01-15,2023-09-13,churned
21,21,pro,50,2023-01-14,,active
22,22,basic,10,2023-01-12,2023-06-08,churned
23,23,basic,10,2023-01-15,2023-09-26,churned
24,24,pro,50,2023-01-16,,active
25,25,basic,10,2023-01-16,2023-04-14,churned
26,26,basic,10,2023-01-16,2023-08-25,churned
27,27,enterprise,200,2023-01-20,,active
28,28,pro,50,2023-01-17,,active
29,29,pro,50,2023-01-20,2023-12-01,churned
30,30,pro,50,2023-01-21,,active
31,31,pro,50,2023-01-23,2023-06-03,churned
32,32,pro,50,2023-01-19,,active
33,33,basic,10,2023-01-21,2023-10-27,churned
34,34,basic,10,2023-01-23,2023-06-02,churned
35,35,basic,10,2023-01-25,2023-04-19,churned
36,36,basic,10,2023-01-19,2023-06-09,churned
37,37,pro,50,2023-01-25,2023-10-09,churned
38,38,basic,10,2023-01-25,2023-11-20,churned
39,39,basic,10,2023-01-24,,active
40,40,basic,10,2023-01-20,2023-05-18,churned
41,41,basic,10,2023-01-25,2023-09-16,churned
42,42,pro,50,2023-01-22,2023-06-11,churned
43,43,basic,10,2023-01-29,2023-08-11,churned
44,44,pro,50,2023-01-24,2023-05-18,churned
45,45,basic,10,2023-01-27,2023-12-12,churned
46,46,pro,50,2023-01-26,2023-06-17,churned
47,47,pro,50,2023-01-24,2023-11-30,churned
48,48,basic,10,2023-01-24,2023-09-26,churned
49,49,pro,50,2023-01-29,2023-07-31,churned
50,50,basic,10,2023-01-26,2023-11-30,churned
51,51,basic,10,2023-01-27,,active
52,52,enterprise,200,2023-01-28,2023-11-27,churned
53,53,basic,10,2023-01-29,2024-02-03,churned
54,54,basic,10,2023-02-02,,active
55,55,pro,50,2023-01-31,,active
56,56,basic,10,2023-02-03,,active
57,57,pro,50,2023-02-03,2023-12-24,churned
58,58,basic,10,2023-02-05,2023-07-30,churned
59,59,enterprise,200,2023-01-31,,active
60,60,pro,50,2023-02-02,2023-04-06,churned
61,61,pro,50,2023-02-01,,active
62,62,enterprise,200,2023-01-31,2023-04-17,churned
63,63,basic,10,2023-02-06,2023-08-06,churned
64,64,enterprise,200,2023-02-05,,active
65,65,basic,10,2023-02-05,2024-01-23,churned
66,66,basic,10,2023-02-09,2023-12-08,churned
67,67,basic,10,2023-02-09,2023-05-29,churned
68,68,pro,50,2023-02-09,2023-11-06,churned
69,69,basic,10,2023-02-11,2023-05-09,churned
70,70,pro,50,2023-02-05,2023-09-26,churned
71,71,pro,50,2023-02-06,2023-07-13,churned
72,72,enterprise,200,2023-02-12,2023-07-15,churned
73,73,basic,10,2023-02-10,2023-05-19,churned
74,74,pro,50,2023-02-13,,active
75,75,basic,10,2023-02-08,2024-01-10,churned
76,76,basic,10,2023-02-07,,active
77,77,basic,10,2023-02-11,2023-12-16,churned
78,78,basic,10,2023-02-15,2023-11-07,churned
79,79,pro,50,2023-02-09,2023-04-11,churned
80,80,pro,50,2023-02-15,2023-12-04,churned
81,81,basic,10,2023-02-14,2024-01-24,churned
82,82,basic,10,2023-02-17,2023-09-16,churned
83,83,basic,10,2023-02-14,,active
84,84,basic,10,2023-02-11,2023-05-11,churned
85,85,enterprise,200,2023-02-12,,active
86,86,basic,10,2023-02-14,2023-12-31,churned
87,87,basic,10,2023-02-14,2023-05-20,churned
88,88,basic,10,2023-02-14,2023-08-13,churned
89,89,pro,50,2023-02-20,2024-02-06,churned
90,90,enterprise,200,2023-02-17,,active
91,91,pro,50,2023-02-15,,active
92,92,pro,50,2023-02-21,,active
93,93,pro,50,2023-02-21,,active
94,94,basic,10,2023-02-19,2023-09-27,churned
95,95,enterprise,200,2023-02-20,,active
96,96,pro,50,2023-02-19,,active
97,97,pro,50,2023-02-22,2023-05-30,churned
98,98,pro,50,2023-02-18,2024-02-01,churned
99,99,pro,50,2023-02-20,2023-08-08,churned
100,100,pro,50,2023-02-23,2023-10-19,churned
101,101,enterprise,200,2023-02-21,,active
102,102,enterprise,200,2023-02-25,,active
103,103,pro,50,2023-02-28,,active
104,104,pro,50,2023-02-25,,active
105,105,basic,10,2023-02-22,2024-01-31,churned
106,106,pro,50,2023-02-26,,active
107,107,basic,10,2023-02-24,2023-07-02,churned
108,108,pro,50,2023-02-27,2023-06-21,churned
109,109,enterprise,200,2023-02-26,,active
110,110,pro,50,2023-02-27,,active
