event_id,event_type,actor,repo,created_at,payload_size,event_date
E0000001,IssuesEvent,octocat,dagster-io/dagster,2026-08-04 03:01:00,1263,2026-08-04
E0000002,PullRequestEvent,sre-bot,dbt-labs/dbt-core,2026-08-04 23:06:00,4957,2026-08-04
E0000003,PushEvent,octocat,dagster-io/dagster,2026-08-04 13:02:00,4259,2026-08-04
E0000004,PullRequestEvent,analyst-99,snowflakedb/snowflake-connector-python,2026-08-04 19:01:00,3556,2026-08-04
E0000005,PullRequestEvent,diyar,dagster-io/dagster,2026-08-04 07:28:00,5839,2026-08-04
E0000006,PushEvent,octocat,airbytehq/airbyte,2026-08-04 13:21:00,957,2026-08-04
E0000007,PushEvent,jane-ae,snowflakedb/snowflake-connector-python,2026-08-04 02:24:00,2286,2026-08-04
E0000008,PushEvent,diyar,duckdb/duckdb,2026-08-04 01:46:00,765,2026-08-04
E0000009,IssuesEvent,sre-bot,airbytehq/airbyte,2026-08-04 17:18:00,4849,2026-08-04
E0000010,PushEvent,analyst-99,dagster-io/dagster,2026-08-04 06:45:00,6452,2026-08-04
E0000011,WatchEvent,diyar,duckdb/duckdb,2026-08-04 09:05:00,2397,2026-08-04
E0000012,IssuesEvent,octocat,airbytehq/airbyte,2026-08-04 14:40:00,3030,2026-08-04
E0000013,PushEvent,analyst-99,dbt-labs/dbt-core,2026-08-04 06:42:00,5110,2026-08-04
E0000014,PullRequestEvent,octocat,dagster-io/dagster,2026-08-04 20:10:00,3906,2026-08-04
E0000015,ForkEvent,analyst-99,snowflakedb/snowflake-connector-python,2026-08-04 12:17:00,1919,2026-08-04
E0000016,IssuesEvent,diyar,dagster-io/dagster,2026-08-04 21:20:00,6852,2026-08-04
E0000017,PushEvent,jane-ae,dbt-labs/dbt-core,2026-08-04 01:51:00,1848,2026-08-04
E0000018,IssuesEvent,octocat,duckdb/duckdb,2026-08-04 18:56:00,3361,2026-08-04
E0000019,PushEvent,octocat,dagster-io/dagster,2026-08-04 20:29:00,6222,2026-08-04
E0000020,PushEvent,sre-bot,duckdb/duckdb,2026-08-04 17:34:00,7474,2026-08-04
E0000021,PushEvent,octocat,snowflakedb/snowflake-connector-python,2026-08-04 18:25:00,4162,2026-08-04
E0000022,PushEvent,diyar,dagster-io/dagster,2026-08-04 02:48:00,5260,2026-08-04
E0000023,PullRequestEvent,sre-bot,dbt-labs/dbt-core,2026-08-04 05:50:00,3272,2026-08-04
E0000024,ForkEvent,sre-bot,airbytehq/airbyte,2026-08-04 12:38:00,4652,2026-08-04
E0000025,IssuesEvent,analyst-99,snowflakedb/snowflake-connector-python,2026-08-04 00:43:00,6271,2026-08-04
E0000026,PullRequestEvent,diyar,airbytehq/airbyte,2026-08-04 08:49:00,3681,2026-08-04
E0000027,PushEvent,analyst-99,airbytehq/airbyte,2026-08-04 05:29:00,4220,2026-08-04
E0000028,WatchEvent,analyst-99,airbytehq/airbyte,2026-08-04 05:32:00,7014,2026-08-04
E0000029,PullRequestEvent,octocat,airbytehq/airbyte,2026-08-04 20:32:00,6366,2026-08-04
E0000030,ForkEvent,sre-bot,dbt-labs/dbt-core,2026-08-04 05:34:00,5026,2026-08-04
E0000031,PushEvent,jane-ae,airbytehq/airbyte,2026-08-04 10:31:00,2081,2026-08-04
E0000032,WatchEvent,diyar,dbt-labs/dbt-core,2026-08-04 01:15:00,6115,2026-08-04
E0000033,PushEvent,sre-bot,dagster-io/dagster,2026-08-04 15:52:00,1171,2026-08-04
E0000034,WatchEvent,octocat,airbytehq/airbyte,2026-08-04 21:30:00,4442,2026-08-04
E0000035,ForkEvent,sre-bot,dagster-io/dagster,2026-08-04 19:27:00,5960,2026-08-04
E0000036,ForkEvent,analyst-99,airbytehq/airbyte,2026-08-04 09:25:00,3708,2026-08-04
E0000037,PushEvent,octocat,dbt-labs/dbt-core,2026-08-04 16:28:00,2889,2026-08-04
E0000038,PullRequestEvent,sre-bot,dagster-io/dagster,2026-08-04 00:37:00,178,2026-08-04
E0000039,PullRequestEvent,octocat,dbt-labs/dbt-core,2026-08-04 02:45:00,7537,2026-08-04
E0000040,PushEvent,sre-bot,dagster-io/dagster,2026-08-04 01:55:00,2401,2026-08-04
E0000041,PushEvent,octocat,snowflakedb/snowflake-connector-python,2026-08-04 21:31:00,4840,2026-08-04
E0000042,IssuesEvent,data-eng-42,dagster-io/dagster,2026-08-04 15:15:00,892,2026-08-04
E0000043,PushEvent,data-eng-42,duckdb/duckdb,2026-08-04 03:42:00,3945,2026-08-04
E0000044,PullRequestEvent,analyst-99,dbt-labs/dbt-core,2026-08-04 23:03:00,616,2026-08-04
E0000045,PushEvent,diyar,dagster-io/dagster,2026-08-04 12:46:00,1689,2026-08-04
E0000046,PushEvent,data-eng-42,dagster-io/dagster,2026-08-04 06:34:00,2401,2026-08-04
E0000047,WatchEvent,diyar,duckdb/duckdb,2026-08-04 14:15:00,6739,2026-08-04
E0000048,PushEvent,sre-bot,dbt-labs/dbt-core,2026-08-04 17:06:00,884,2026-08-04
E0000049,PushEvent,data-eng-42,dagster-io/dagster,2026-08-04 07:10:00,7203,2026-08-04
E0000050,PushEvent,data-eng-42,dbt-labs/dbt-core,2026-08-04 12:57:00,3318,2026-08-04
E0000051,IssuesEvent,data-eng-42,airbytehq/airbyte,2026-08-04 08:59:00,3585,2026-08-04
E0000052,ForkEvent,sre-bot,duckdb/duckdb,2026-08-04 22:46:00,1388,2026-08-04
E0000053,PushEvent,diyar,snowflakedb/snowflake-connector-python,2026-08-04 06:18:00,6147,2026-08-04
E0000054,IssuesEvent,diyar,dbt-labs/dbt-core,2026-08-04 17:03:00,4905,2026-08-04
E0000055,WatchEvent,sre-bot,dagster-io/dagster,2026-08-04 15:32:00,585,2026-08-04
E0000056,WatchEvent,diyar,snowflakedb/snowflake-connector-python,2026-08-04 16:05:00,676,2026-08-04
E0000057,PushEvent,diyar,snowflakedb/snowflake-connector-python,2026-08-04 21:55:00,2136,2026-08-04
E0000058,PushEvent,diyar,duckdb/duckdb,2026-08-04 18:38:00,5505,2026-08-04
E0000059,PullRequestEvent,jane-ae,dagster-io/dagster,2026-08-04 18:36:00,5606,2026-08-04
E0000060,PushEvent,data-eng-42,dagster-io/dagster,2026-08-04 22:20:00,5622,2026-08-04
E0000061,PushEvent,diyar,dbt-labs/dbt-core,2026-08-04 20:19:00,3874,2026-08-04
E0000062,ForkEvent,diyar,snowflakedb/snowflake-connector-python,2026-08-04 19:36:00,1866,2026-08-04
E0000063,PushEvent,jane-ae,dbt-labs/dbt-core,2026-08-04 16:16:00,7322,2026-08-04
E0000064,PushEvent,data-eng-42,snowflakedb/snowflake-connector-python,2026-08-04 07:23:00,5883,2026-08-04
E0000065,ForkEvent,analyst-99,snowflakedb/snowflake-connector-python,2026-08-04 09:39:00,184,2026-08-04
E0000066,PullRequestEvent,analyst-99,dbt-labs/dbt-core,2026-08-04 21:52:00,7811,2026-08-04
E0000067,PushEvent,diyar,snowflakedb/snowflake-connector-python,2026-08-04 04:16:00,1393,2026-08-04
E0000068,PullRequestEvent,analyst-99,airbytehq/airbyte,2026-08-04 08:18:00,1787,2026-08-04
E0000069,WatchEvent,sre-bot,duckdb/duckdb,2026-08-04 21:40:00,2177,2026-08-04
E0000070,PullRequestEvent,jane-ae,dbt-labs/dbt-core,2026-08-04 01:05:00,149,2026-08-04
E0000071,PushEvent,jane-ae,dagster-io/dagster,2026-08-04 10:49:00,6192,2026-08-04
E0000072,IssuesEvent,sre-bot,dbt-labs/dbt-core,2026-08-04 14:35:00,1036,2026-08-04
E0000073,PullRequestEvent,octocat,snowflakedb/snowflake-connector-python,2026-08-04 02:56:00,415,2026-08-04
E0000074,PullRequestEvent,data-eng-42,dagster-io/dagster,2026-08-04 11:37:00,462,2026-08-04
E0000075,WatchEvent,diyar,airbytehq/airbyte,2026-08-04 09:23:00,1840,2026-08-04
E0000076,PullRequestEvent,jane-ae,snowflakedb/snowflake-connector-python,2026-08-04 21:15:00,7362,2026-08-04
E0000077,IssuesEvent,octocat,dagster-io/dagster,2026-08-04 13:39:00,6672,2026-08-04
E0000078,PushEvent,octocat,airbytehq/airbyte,2026-08-04 05:56:00,6529,2026-08-04
E0000079,PullRequestEvent,analyst-99,dagster-io/dagster,2026-08-04 13:51:00,2305,2026-08-04
E0000080,IssuesEvent,data-eng-42,dbt-labs/dbt-core,2026-08-04 05:50:00,7153,2026-08-04
E0000081,IssuesEvent,data-eng-42,airbytehq/airbyte,2026-08-05 07:12:00,2620,2026-08-05
E0000082,PushEvent,octocat,duckdb/duckdb,2026-08-05 07:14:00,2809,2026-08-05
E0000083,PushEvent,jane-ae,airbytehq/airbyte,2026-08-05 08:55:00,5375,2026-08-05
E0000084,PullRequestEvent,sre-bot,airbytehq/airbyte,2026-08-05 16:25:00,7814,2026-08-05
E0000085,WatchEvent,jane-ae,dagster-io/dagster,2026-08-05 00:07:00,4876,2026-08-05
E0000086,PushEvent,data-eng-42,airbytehq/airbyte,2026-08-05 08:02:00,6088,2026-08-05
E0000087,PullRequestEvent,sre-bot,dbt-labs/dbt-core,2026-08-05 10:27:00,3275,2026-08-05
E0000088,PushEvent,analyst-99,duckdb/duckdb,2026-08-05 18:12:00,133,2026-08-05
E0000089,IssuesEvent,analyst-99,dagster-io/dagster,2026-08-05 16:59:00,3103,2026-08-05
E0000090,WatchEvent,jane-ae,snowflakedb/snowflake-connector-python,2026-08-05 13:04:00,2691,2026-08-05
E0000091,PushEvent,jane-ae,snowflakedb/snowflake-connector-python,2026-08-05 21:54:00,2653,2026-08-05
E0000092,PushEvent,analyst-99,airbytehq/airbyte,2026-08-05 21:26:00,4661,2026-08-05
