order_id,customer_id,product_id,quantity,discount_pct,channel,status,order_date,payment
1,463,55,1,0,mobile,completed,2024-02-19 21:00:00,card
2,343,65,2,0,store,completed,2024-08-26 12:00:00,cash
3,473,84,2,0,mobile,completed,2024-07-31 05:00:00,card
4,363,20,4,0,mobile,cancelled,2024-09-28 09:00:00,cash
5,484,72,5,0,web,refunded,2024-11-05 08:00:00,card
6,301,46,4,0,web,cancelled,2024-10-14 05:00:00,online
7,146,65,3,5,store,completed,2024-01-21 08:00:00,online
8,313,71,3,10,web,refunded,2024-07-21 08:00:00,card
9,411,58,1,0,web,completed,2024-05-10 02:00:00,card
10,84,21,3,0,web,completed,2024-05-28 22:00:00,online
11,302,44,3,0,web,completed,2024-10-18 08:00:00,cash
12,403,77,5,10,web,completed,2024-05-13 10:00:00,cash
13,137,26,2,0,,completed,2024-05-03 08:00:00,card
14,78,20,5,15,web,refunded,2024-04-19 20:00:00,card
15,121,46,2,0,mobile,refunded,2024-06-14 21:00:00,card
16,94,92,4,0,web,cancelled,2024-02-22 11:00:00,card
17,152,74,3,0,web,completed,2024-05-21 03:00:00,card
18,8,55,1,0,web,completed,2024-06-18 12:00:00,online
19,363,16,1,10,web,completed,2024-05-01 15:00:00,cash
20,67,77,3,15,store,cancelled,2024-03-22 07:00:00,card
21,390,8,2,20,web,cancelled,2024-08-13 15:00:00,cash
22,94,92,3,0,mobile,completed,2024-04-07 18:00:00,online
23,445,54,5,0,mobile,completed,2024-11-14 12:00:00,card
24,103,63,2,0,web,completed,2024-11-07 18:00:00,online
25,487,11,2,5,web,completed,2024-05-28 06:00:00,card
26,300,75,4,10,store,cancelled,2024-11-24 03:00:00,online
27,47,14,3,5,web,completed,2024-07-03 04:00:00,cash
28,437,44,2,10,mobile,cancelled,2024-11-15 02:00:00,
29,472,99,4,15,store,completed,2024-10-29 10:00:00,cash
30,359,49,5,10,store,completed,2024-08-16 18:00:00,card
31,59,22,3,0,store,completed,2024-08-25 05:00:00,card
32,146,62,1,0,web,completed,2024-05-03 12:00:00,cash
33,372,69,4,0,store,completed,2024-05-28 05:00:00,cash
34,242,16,1,10,mobile,completed,2024-02-19 20:00:00,cash
35,446,44,5,0,mobile,cancelled,2024-07-16 19:00:00,cash
36,30,33,4,20,web,refunded,2024-10-20 06:00:00,
37,220,100,4,15,mobile,completed,2024-03-02 09:00:00,online
38,176,16,1,0,mobile,cancelled,2024-01-24 14:00:00,online
39,428,41,5,15,mobile,completed,2024-12-22 17:00:00,cash
40,168,63,4,20,web,completed,2024-11-06 22:00:00,card
41,74,37,1,10,store,cancelled,2024-06-30 14:00:00,online
42,357,70,2,0,web,completed,2024-07-09 14:00:00,card
43,180,65,2,0,web,refunded,2024-11-22 10:00:00,card
44,310,62,4,0,web,completed,2024-05-12 02:00:00,cash
45,294,85,4,20,store,cancelled,2024-05-28 17:00:00,card
46,174,54,2,0,mobile,refunded,2024-10-25 07:00:00,cash
47,109,56,3,0,store,completed,2024-12-07 03:00:00,
48,191,92,4,5,web,completed,2024-08-29 00:00:00,online
49,208,59,4,30,web,completed,2024-02-12 02:00:00,card
50,151,71,1,10,web,completed,2024-05-15 19:00:00,card
51,318,97,1,0,mobile,completed,2024-09-16 21:00:00,card
52,177,21,1,0,web,refunded,2024-10-04 10:00:00,card
53,40,78,2,20,web,completed,2024-12-06 17:00:00,card
54,72,32,5,15,mobile,completed,2024-11-16 06:00:00,card
55,172,61,3,15,mobile,completed,2024-04-17 10:00:00,card
56,329,67,1,15,mobile,completed,2024-02-01 08:00:00,online
57,224,10,5,0,mobile,completed,2024-06-07 07:00:00,online
58,51,67,2,10,mobile,cancelled,2024-07-27 22:00:00,cash
59,349,64,5,5,web,completed,2024-09-14 21:00:00,online
