order_id,user_id,user_name,city,amount,order_date,revenue_tier,normalized_status,amount_hundreds,order_month,order_quarter,order_year,year,month_num,month_name,quarter,day_of_week,week_of_year
1,8,user_8,SPB,828,2024-01-01 00:00:00,low,completed,8.28,1,1,2024,2024,1,Jan,1,Monday,1
2,88,user_88,MOSCOW,1465,2024-01-01 03:00:00,medium,completed,14.65,1,1,2024,2024,1,Jan,1,Monday,1
3,63,user_63,SPB,4592,2024-01-01 06:00:00,medium,completed,45.92,1,1,2024,2024,1,Jan,1,Monday,1
5,81,user_81,KAZAN,495,2024-01-01 12:00:00,low,completed,4.95,1,1,2024,2024,1,Jan,1,Monday,1
7,35,user_35,KAZAN,4460,2024-01-01 18:00:00,medium,completed,44.6,1,1,2024,2024,1,Jan,1,Monday,1
8,35,user_35,KAZAN,2602,2024-01-01 21:00:00,medium,completed,26.02,1,1,2024,2024,1,Jan,1,Monday,1
9,33,user_33,SPB,1919,2024-01-02 00:00:00,medium,completed,19.19,1,1,2024,2024,1,Jan,1,Tuesday,1
12,28,user_28,KAZAN,3677,2024-01-02 09:00:00,medium,completed,36.77,1,1,2024,2024,1,Jan,1,Tuesday,1
13,7,user_7,KAZAN,243,2024-01-02 12:00:00,low,completed,2.43,1,1,2024,2024,1,Jan,1,Tuesday,1
15,72,user_72,SPB,4591,2024-01-02 18:00:00,medium,completed,45.91,1,1,2024,2024,1,Jan,1,Tuesday,1
16,12,user_12,KAZAN,3038,2024-01-02 21:00:00,medium,completed,30.38,1,1,2024,2024,1,Jan,1,Tuesday,1
18,33,user_33,SPB,3322,2024-01-03 03:00:00,medium,completed,33.22,1,1,2024,2024,1,Jan,1,Wednesday,1
19,48,user_48,MOSCOW,1267,2024-01-03 06:00:00,medium,completed,12.67,1,1,2024,2024,1,Jan,1,Wednesday,1
20,23,user_23,SPB,2716,2024-01-03 09:00:00,medium,completed,27.16,1,1,2024,2024,1,Jan,1,Wednesday,1
21,62,user_62,MOSCOW,1162,2024-01-03 12:00:00,medium,completed,11.62,1,1,2024,2024,1,Jan,1,Wednesday,1
22,88,user_88,MOSCOW,2256,2024-01-03 15:00:00,medium,completed,22.56,1,1,2024,2024,1,Jan,1,Wednesday,1
24,99,user_99,MOSCOW,3394,2024-01-03 21:00:00,medium,completed,33.94,1,1,2024,2024,1,Jan,1,Wednesday,1
