user_id,frequency,monetary,recency_days,r,f,m,rfm_score,segment
45,1,4949,358,4,4,4,12,Champions
37,1,4921,334,4,4,4,12,Champions
98,1,4569,350,4,4,4,12,Champions
77,2,4161,356,4,4,4,12,Champions
88,2,3721,364,4,4,4,12,Champions
78,1,3424,363,4,4,4,12,Champions
41,1,3131,340,4,4,4,12,Champions
18,1,2228,341,4,4,4,12,Champions
56,2,876,350,4,4,4,12,Champions
31,1,773,345,4,4,4,12,Champions
11,1,323,349,4,4,4,12,Champions
21,2,7923,337,4,4,3,11,Champions
79,2,6812,355,4,4,3,11,Champions
9,2,5114,344,4,4,3,11,Champions
81,2,5063,353,4,4,3,11,Champions
85,1,4770,316,3,4,4,11,Champions
76,2,4215,327,3,4,4,11,Champions
53,2,3172,324,3,4,4,11,Champions
68,2,9304,340,4,4,2,10,Champions
72,2,9233,342,4,4,2,10,Champions
38,3,6616,338,4,3,3,10,Champions
87,2,5849,327,3,4,3,10,Champions
47,2,3291,317,3,3,4,10,Champions
6,2,3109,323,3,3,4,10,Champions
80,1,1022,313,2,4,4,10,Champions
66,3,9692,331,4,3,2,9,Loyal
70,3,9554,349,4,3,2,9,Loyal
42,3,7950,324,3,3,3,9,Loyal
60,3,7316,324,3,3,3,9,Loyal
22,3,7074,318,3,3,3,9,Loyal
15,3,6550,324,3,3,3,9,Loyal
5,2,5806,323,3,3,3,9,Loyal
32,3,5804,326,3,3,3,9,Loyal
61,2,4361,312,2,3,4,9,Loyal
34,1,2543,308,1,4,4,9,Loyal
74,1,2449,309,1,4,4,9,Loyal
91,2,2052,313,2,3,4,9,Loyal
39,3,10571,329,3,3,2,8,Loyal
3,4,9834,343,4,2,2,8,Loyal
14,3,9516,327,3,3,2,8,Loyal
94,2,8967,323,3,3,2,8,Loyal
28,4,8443,336,4,2,2,8,Loyal
4,3,7861,313,2,3,3,8,Loyal
50,3,6479,312,2,3,3,8,Loyal
95,2,5638,314,2,3,3,8,Loyal
46,3,2843,310,2,2,4,8,Loyal
26,2,1417,309,1,3,4,8,Loyal
59,4,13644,348,4,2,1,7,Loyal
97,4,13521,336,4,2,1,7,Loyal
63,4,9975,319,3,2,2,7,Loyal
25,4,8672,326,3,2,2,7,Loyal
100,2,8397,315,2,3,2,7,Loyal
10,2,7705,307,1,3,3,7,Loyal
54,5,7321,324,3,1,3,7,Loyal
13,3,5963,310,2,2,3,7,Loyal
75,2,5963,308,1,3,3,7,Loyal
82,2,5062,306,1,3,3,7,Loyal
29,3,4035,308,1,2,4,7,Loyal
27,5,15580,330,3,2,1,6,New Customers
57,4,11797,317,3,2,1,6,New Customers
19,6,11436,321,3,1,2,6,New Customers
65,3,10937,311,2,2,2,6,Others
43,3,10864,310,2,2,2,6,Others
44,4,10790,310,2,2,2,6,Others
69,4,10513,314,2,2,2,6,Others
51,6,8117,311,2,1,3,6,At Risk
49,3,7846,306,1,2,3,6,At Risk
64,3,5654,307,1,2,3,6,At Risk
30,3,5568,304,1,2,3,6,At Risk
48,7,17367,319,3,1,1,5,New Customers
86,6,16548,318,3,1,1,5,New Customers
52,5,13319,322,3,1,1,5,New Customers
40,3,12122,311,2,2,1,5,Others
84,3,11264,304,1,2,2,5,Others
36,4,11195,307,1,2,2,5,Others
7,4,10215,308,1,2,2,5,Others
16,5,10184,313,2,1,2,5,Others
2,5,9409,313,2,1,2,5,Others
55,4,8932,305,1,2,2,5,Others
33,10,26739,311,2,1,1,4,Others
12,5,17350,311,2,1,1,4,Others
35,5,16357,312,2,1,1,4,Others
92,6,15454,313,2,1,1,4,Others
1,7,13366,314,2,1,1,4,Others
67,5,13143,311,2,1,1,4,Others
58,6,13079,314,2,1,1,4,Others
89,4,12105,305,1,2,1,4,Others
23,6,9931,305,1,1,2,4,Others
99,10,22087,305,1,1,1,3,Others
90,8,21132,308,1,1,1,3,Others
17,6,20478,304,1,1,1,3,Others
96,7,16937,305,1,1,1,3,Others
93,6,15401,309,1,1,1,3,Others
62,7,14662,306,1,1,1,3,Others
24,6,14449,306,1,1,1,3,Others
8,5,14372,309,1,1,1,3,Others
