user_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment,analysis_date,created_at
1,7,14,32673,4,2,3,3.0,New Customers,2025-01-01,2026-02-13 23:39:22
2,19,16,35770,3,4,3,3.3333333333333335,Others,2025-01-01,2026-02-13 23:39:22
3,21,14,31855,2,2,2,2.0,Hibernating,2025-01-01,2026-02-13 23:39:22
4,173,10,29700,1,1,1,1.0,Hibernating,2025-01-01,2026-02-13 23:39:22
5,25,15,36841,2,3,4,3.0,At Risk,2025-01-01,2026-02-13 23:39:22
6,17,14,37737,3,3,4,3.3333333333333335,Others,2025-01-01,2026-02-13 23:39:22
7,53,15,45026,1,4,5,3.3333333333333335,Loyal Customers,2025-01-01,2026-02-13 23:39:22
8,3,13,30897,5,1,2,2.6666666666666665,New Customers,2025-01-01,2026-02-13 23:39:22
9,6,16,30139,5,5,1,3.6666666666666665,Others,2025-01-01,2026-02-13 23:39:22
10,16,16,42030,4,5,5,4.666666666666667,Champions,2025-01-01,2026-02-13 23:39:22
