order_id,user_id,amount,status,city,order_date
1,103,2936.81,completed,MOSCOW,2024-11-23
2,180,2826.65,completed,YEKATERINBURG,2024-02-27
3,93,1900.08,completed,SPB,2024-01-13
4,15,1693.86,completed,YEKATERINBURG,2024-05-20
5,107,4499.24,pending,YEKATERINBURG,2024-05-05
6,72,3041.7,completed,NOVOSIBIRSK,2024-04-24
7,189,1229.32,cancelled,SPB,2024-03-12
8,21,2496.26,pending,MOSCOW,2024-02-22
9,103,1658.44,completed,MOSCOW,2024-12-12
10,122,4669.12,pending,KAZAN,2024-10-06
11,75,47.6,completed,MOSCOW,2024-02-14
12,88,1134.41,completed,NOVOSIBIRSK,2024-10-29
13,117,1833.13,completed,YEKATERINBURG,2024-08-04
14,100,2444.17,completed,YEKATERINBURG,2024-01-17
15,104,4255.58,completed,YEKATERINBURG,2024-01-16
16,152,448.56,completed,SPB,2024-02-17
17,131,4031.27,completed,MOSCOW,2024-04-21
18,150,287.71,completed,NOVOSIBIRSK,2024-04-29
19,53,4213.15,completed,SPB,2024-09-15
20,2,267.66,pending,KAZAN,2024-11-04
21,88,101.03,completed,NOVOSIBIRSK,2024-01-14
22,158,3487.84,completed,NOVOSIBIRSK,2024-10-14
23,38,4986.31,pending,NOVOSIBIRSK,2024-04-11
24,130,4484.09,completed,YEKATERINBURG,2024-11-28
25,192,2884.23,completed,NOVOSIBIRSK,2024-12-25
26,188,4587.8,completed,MOSCOW,2024-10-06
27,21,36.45,completed,NOVOSIBIRSK,2024-08-02
28,161,4875.59,cancelled,YEKATERINBURG,2024-04-22
29,58,2458.84,completed,NOVOSIBIRSK,2024-08-17
30,22,3617.25,cancelled,KAZAN,2024-10-28
31,89,4106.1,completed,KAZAN,2024-05-22
32,49,3595.1,completed,YEKATERINBURG,2024-01-04
33,59,2679.83,completed,MOSCOW,2024-03-22
34,170,2388.33,completed,MOSCOW,2024-12-23
35,188,4194.53,completed,SPB,2024-08-04
36,15,1033.34,pending,YEKATERINBURG,2024-06-23
37,190,4840.29,pending,NOVOSIBIRSK,2024-05-22
38,190,3557.65,completed,YEKATERINBURG,2024-03-20
39,175,1005.54,cancelled,SPB,2024-04-20
